ecotype id	nativename	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	77_LES	78_YEL 	79_LY 	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	8_Seed Dormancy	277_Secondary Dormancy	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days	179_Rosette Erect 22	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	43_FLC	44_FRI	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	161_Germ 10	162_Germ 16	163_Germ 22	278_Germ in dark	279_DSDS50	273_Vern Growth	274_After Vern Growth	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	158_Silique 16	159_Silique 22	
6964	Spr1-2	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	NA	1.80567	26.4105	97.5	100.0	0.0	60.8417	32.6667	200.0	200.0	93.0	97.0	207.0	0.771	1.0586	NA	NA	0.0	7.0	4.0	3.0	17.7656	13.663	0.00388476	0.0746892	NA	NA	NA	NA	NA	1.4	0.9	
6965	Spr1-6	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	NA	2.24026	0.0	9.48457	97.9452	0.0	200.0	40.0	200.0	80.6667	102.0	129.0	81.0	1.793	1.7159	1.0	1.0	1.0	5.0	3.0	2.0	2.77778	40.6665	0.00656676	0.100571	NA	NA	NA	NA	NA	1.4	1.2	
6966	Sq-1	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	NA	-0.0595238	0.1625	0.25	3.25	1.0	42.6944	23.8333	96.8611	46.8333	53.0	58.0	50.0	0.995	0.8259	1.0	1.0	1.0	5.0	3.0	2.0	66.2946	79.6785	0.00171113	0.0637767	22.9341	74.6704	60.4505	13.496	36.4548	1.3	1.0	
6967	Sq-8	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0148809	0.0	5.43182	94.0	0.0	26.8333	21.6667	76.6736	42.0	44.0	32.0	28.0	0.021	0.798	0.0	1.0	0.0	5.0	3.0	2.0	100.0	42.1176	0.0024827	0.0845147	20.0746	70.47	49.7532	20.6749	40.8352	1.5	1.1	
6968	Tamm-2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.205765	31.0	100.0	100.0	1.0	200.0	34.5	200.0	70.8333	71.0	126.0	207.0	2.197	1.0727	1.0	1.0	1.0	5.0	3.0	2.0	88.7821	11.9694	0.00399271	0.0852431	NA	NA	NA	NA	NA	1.3	0.9	
6969	Tamm-27	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.334821	29.25	79.304	100.0	1.0	200.0	33.1667	200.0	77.5	70.0	122.0	250.0	2.777	1.3021	1.0	1.0	1.0	5.0	3.0	2.0	82.0588	18.1081	0.000998095	0.0720201	NA	NA	NA	NA	NA	1.4	0.9	
6970	Ts-1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	129.0	-0.00595238	1.71e-17	0.5	13.2778	1.0	43.2083	19.8333	69.1667	32.3333	48.0	45.0	44.0	3.633	1.2371	1.0	0.0	1.0	5.0	3.0	2.0	39.1317	72.068	0.00776955	0.141393	21.0358	73.3895	58.7379	14.5083	35.5925	1.7	1.3	
6971	Ts-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	127.0	-0.04329	0.0	0.0	8.75	1.0	71.375	19.5	92.0278	39.8	51.0	57.0	93.0	2.26	1.5324	0.0	1.0	0.0	5.0	3.0	2.0	68.7626	79.7412	0.00458015	0.12325	30.1802	101.968	91.9012	9.98768	40.1294	1.5	1.1	
6972	Tsu-1	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0	NA	NA	NA	NA	0.0	35.1736	31.3333	73.3333	50.5	63.0	49.0	33.0	0.06	0.2614	1.0	1.0	1.0	5.0	3.0	2.0	NA	NA	NA	NA	21.6523	70.7286	52.6034	17.4952	39.5726	1.5	1.1	
6973	Ull2-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	15.0	NA	1.72e-17	1.48967	4.63917	0.0	29.6	27.0	65.8403	59.5	53.0	35.0	35.0	0.045	1.6034	0.0	1.0	0.0	5.0	3.0	2.0	NA	75.5528	0.00584478	0.140898	22.5358	72.2789	51.2288	21.161	43.7211	1.5	1.0	
